CountyFIP,State Name,County Name,Poverty Rate,Median Income
08035, Colorado,Douglas County,3,122290
51107, Virginia,Loudoun County,3.2,155362
27019, Minnesota,Carver County,3.5,107932
39041, Ohio,Delaware County,3.7,114423
17093, Illinois,Kendall County,3.9,97263
47187, Tennessee,Williamson County,4.1,118257
34019, New Jersey,Hunterdon County,4.1,113611
55133, Wisconsin,Waukesha County,4.2,92359
08014, Colorado,Broomfield County,4.2,106263
18057, Indiana,Hamilton County,4.2,96359
27139, Minnesota,Scott County,4.3,99924
55089, Wisconsin,Ozaukee County,4.3,83274
27163, Minnesota,Washington County,4.4,101409
27141, Minnesota,Sherburne County,4.4,92673
19049, Iowa,Dallas County,4.4,92025
20091, Kansas,Johnson County,4.6,91799
27171, Minnesota,Wright County,4.6,85855
33015, New Hampshire,Rockingham County,4.6,96775
51199, Virginia,York County,4.7,91711
34027, New Jersey,Morris County,4.7,114103
48397, Texas,Rockwall County,4.8,106225
27037, Minnesota,Dakota County,4.8,90562
34035, New Jersey,Somerset County,4.8,115573
51153, Virginia,Prince William County,4.9,111117
31153, Nebraska,Sarpy County,4.9,83104
55109, Wisconsin,St. Croix County,4.9,82797
29183, Missouri,St. Charles County,5,90567
21185, Kentucky,Oldham County,5,105897
51085, Virginia,Hanover County,5,97717
49011, Utah,Davis County,5,92253
18059, Indiana,Hancock County,5.1,77916
13117, Georgia,Forsyth County,5.1,116690
55131, Wisconsin,Washington County,5.1,81659
42029, Pennsylvania,Chester County,5.2,107491
39165, Ohio,Warren County,5.2,90600
18011, Indiana,Boone County,5.2,92302
24003, Maryland,Anne Arundel County,5.2,105979
24013, Maryland,Carroll County,5.2,104817
18063, Indiana,Hendricks County,5.2,86905
13113, Georgia,Fayette County,5.3,98623
24009, Maryland,Calvert County,5.3,111665
51059, Virginia,Fairfax County,5.3,132509
26093, Michigan,Livingston County,5.3,87686
34037, New Jersey,Sussex County,5.4,92739
51179, Virginia,Stafford County,5.4,110120
29165, Missouri,Platte County,5.4,86924
24027, Maryland,Howard County,5.5,124042
06081, California,San Mateo County,5.5,132369
48491, Texas,Williamson County,5.6,91507
42091, Pennsylvania,Montgomery County,5.6,94094
49045, Utah,Tooele County,5.7,79101
36079, New York,Putnam County,5.7,104285
36059, New York,Nassau County,5.7,122730
34025, New Jersey,Monmouth County,5.9,104219
25021, Massachusetts,Norfolk County,5.9,106348
39103, Ohio,Medina County,5.9,79504
17043, Illinois,DuPage County,5.9,92101
51061, Virginia,Fauquier County,6,106977
34005, New Jersey,Burlington County,6,92471
42017, Pennsylvania,Bucks County,6,92441
51013, Virginia,Arlington County,6,125004
06041, California,Marin County,6,127601
51161, Virginia,Roanoke County,6,71613
08059, Colorado,Jefferson County,6.1,90097
36103, New York,Suffolk County,6.1,109084
48085, Texas,Collin County,6.2,101560
24025, Maryland,Harford County,6.2,102537
39055, Ohio,Geauga County,6.2,84510
24021, Maryland,Frederick County,6.2,99254
36091, New York,Saratoga County,6.3,83427
51003, Virginia,Albemarle County,6.3,79708
17111, Illinois,McHenry County,6.3,89730
27109, Minnesota,Olmsted County,6.4,82683
34003, New Jersey,Bergen County,6.4,107114
51095, Virginia,James City County,6.5,86501
21015, Kentucky,Boone County,6.5,82393
06061, California,Placer County,6.5,100662
53029, Washington,Island County,6.5,76965
51177, Virginia,Spotsylvania County,6.6,94299
06085, California,Santa Clara County,6.6,139462
51041, Virginia,Chesterfield County,6.6,83598
55087, Wisconsin,Outagamie County,6.6,70727
33013, New Hampshire,Merrimack County,6.7,81132
55073, Wisconsin,Marathon County,6.7,67074
13073, Georgia,Columbia County,6.7,87489
13057, Georgia,Cherokee County,6.7,90675
24031, Maryland,Montgomery County,6.7,115394
26139, Michigan,Ottawa County,6.7,77465
18081, Indiana,Johnson County,6.7,76868
29037, Missouri,Cass County,6.8,82068
41005, Oregon,Clackamas County,6.8,82539
51019, Virginia,Bedford County,6.8,70004
09013, Connecticut,Tolland County,6.9,87247
49053, Utah,Washington County,6.9,71904
48121, Texas,Denton County,6.9,90880
01117, Alabama,Shelby County,7,88444
08005, Colorado,Arapahoe County,7,82381
34015, New Jersey,Gloucester County,7,87220
37179, North Carolina,Union County,7,90920
17097, Illinois,Lake County,7,100325
